,Algoritmo,Problema,unshifted,shifted,ratio
0,CSA,F5,4.03e-02,4.13e-02,9.75e-01
1,CSA,F9,7.70e+03,7.75e+03,9.94e-01
2,CSA,F11,1.32e+10,1.36e+10,9.65e-01
