,Variante,Melhor,Mediana,Média,Desvio Padrão,Pior
0,APM,2842.274199385721,3216.5044868240975,3203.842929012332,128.7241711004849,3417.469384335313
1,APM_Med_3,1571.371471330982,1712.7830657357736,1703.606926911389,93.45113835204414,1952.271919233381
2,APM_Worst,1567.6023008527588,1758.1963665279234,1748.0211621904216,91.608044057635,1939.2493403047865
3,APM_Spor_Mono,1500.7280508379354,1731.99095793555,1726.5444635425918,123.48108064921696,1962.1625900755407
